Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)
18	Spectrogram 1	1	1244.082899266	1244.798979420	65.948	923.269	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	44.0829	375.000	70.312	820.312	750.000
19	Spectrogram 1	1	1245.439682715	1245.992446342	197.843	1253.008	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	45.4397	585.938	234.375	1195.312	960.938
20	Spectrogram 1	1	1246.658275256	1247.160787645	285.774	967.234	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	46.6583	585.938	328.125	914.062	585.938
21	Spectrogram 1	1	1247.298978552	1247.788928130	109.913	945.252	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	47.2990	375.000	117.188	890.625	773.438
22	Spectrogram 1	1	1248.015058705	1248.341691757	285.774	1450.851	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	48.0151	703.125	328.125	1335.938	1007.812
23	Spectrogram 1	1	1248.982395053	1249.296465295	241.809	835.339	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	48.9824	468.750	257.812	796.875	539.062
24	Spectrogram 1	1	1250.829128080	1251.130635513	153.878	1406.886	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	50.8291	562.500	187.500	1289.062	1101.562
25	Spectrogram 1	1	1251.344203278	1251.620585091	197.843	1406.886	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	51.3442	609.375	210.938	1312.500	1101.562
26	Spectrogram 1	1	1252.123097480	1252.638172678	87.930	879.304	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	52.1231	304.688	93.750	796.875	703.125
27	Spectrogram 1	1	1252.625609868	1252.876866062	351.722	1143.095	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	52.6256	656.250	398.438	1078.125	679.688
