Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)	Source	Shape	Pulses
18	Spectrogram 1	1	644.082900000	644.798980000	65.948	923.269	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	44.0829	375.000	70.312	820.312	750.000	fish		3
19	Spectrogram 1	1	645.439700000	645.992463000	197.843	1253.008	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	45.4397	585.938	234.375	1195.312	960.938	fish		3
20	Spectrogram 1	1	646.658300000	647.160813000	285.774	967.234	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	46.6583	585.938	328.125	914.062	585.938	fish		3
21	Spectrogram 1	1	647.299000000	647.788949000	109.913	945.252	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	47.2990	375.000	117.188	890.625	773.438	fish		3
22	Spectrogram 1	1	648.015100000	648.341733000	285.774	1450.851	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	48.0151	703.125	328.125	1335.938	1007.812	fish		2
23	Spectrogram 1	1	648.982400000	649.296470000	241.809	835.339	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	48.9824	468.750	257.812	796.875	539.062	fish		2
24	Spectrogram 1	1	650.829100000	651.130608000	153.878	1406.886	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	50.8291	562.500	187.500	1289.062	1101.562	fish		2
25	Spectrogram 1	1	651.344200000	651.620582000	197.843	1406.886	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	51.3442	609.375	210.938	1312.500	1101.562	fish		2
26	Spectrogram 1	1	652.123100000	652.638176000	87.930	879.304	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	52.1231	304.688	93.750	796.875	703.125	fish		3
27	Spectrogram 1	1	652.625600000	652.876856000	351.722	1143.095	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	52.6256	656.250	398.438	1078.125	679.688	fish		2
28	Spectrogram 1	1	654.949700000	655.439649000	241.809	2242.225	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	54.9497	914.062	281.250	2085.938	1804.688	fish		3
29	Spectrogram 1	1	655.452200000	655.741145000	197.843	1406.886	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	55.4522	609.375	210.938	1312.500	1101.562	fish		2
30	Spectrogram 1	1	656.356800000	656.658308000	43.965	967.234	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	56.3568	187.500	46.875	867.188	820.312	fish		2
31	Spectrogram 1	1	658.140700000	658.881906000	373.704	1384.903	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	58.1407	656.250	398.438	1312.500	914.062	fish		4
32	Spectrogram 1	1	629.397000000	629.937201000	329.739	835.339	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	29.3970	562.500	351.562	796.875	445.312	fish		3
33	Spectrogram 1	1	611.758800000	612.160810000	219.826	1318.956	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	11.7588	632.812	257.812	1242.188	984.375	fish		2
34	Spectrogram 1	1	1206.155800000	1206.633187000	87.930	857.321	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	6.1558	328.125	93.750	796.875	703.125	fish		3
35	Spectrogram 1	1	1226.658300000	1227.110561000	175.861	1472.834	S1130_048K_LVR_10458035_20250526_160000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_160000.flac	26.6583	609.375	210.938	1359.375	1148.438	fish		3
