Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)	Source	Shape	Pulses
1379	Spectrogram 1	1	12641.419600000	12641.670860000	1812.183	2259.899	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	41.4196	1992.188	1828.125	2226.562	398.438			1
1380	Spectrogram 1	1	12641.620600000	12641.947230000	1641.625	2025.381	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	41.6206	1828.125	1710.938	2015.625	304.688			1
1381	Spectrogram 1	1	12641.947200000	12642.261270000	1577.665	1940.102	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	41.9472	1804.688	1617.188	1921.875	304.688			1
1382	Spectrogram 1	1	12640.100500000	12640.100500000	1876.143	1876.143	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	40.1005	1875.000	1875.000	1875.000	0.000			
1383	Spectrogram 1	1	12640.138200000	12640.376890000	1556.346	1876.143	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	40.1382	1781.250	1593.750	1851.562	257.812			1
1384	Spectrogram 1	1	12640.050200000	12640.276330000	1790.863	2195.940	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	40.0502	1968.750	1804.688	2109.375	304.688			1
1385	Spectrogram 1	1	12628.655800000	12628.932180000	1620.305	1940.102	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	28.6558	1804.688	1664.062	1921.875	257.812			1
1386	Spectrogram 1	1	12628.819100000	12628.982410000	1876.143	2238.579	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	28.8191	2015.625	1921.875	2203.125	281.250			1
1387	Spectrogram 1	1	12628.995000000	12629.208570000	1641.625	1940.102	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	28.9950	1804.688	1710.938	1921.875	210.938			1
1388	Spectrogram 1	1	12624.861800000	12625.100490000	1641.625	1876.143	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	24.8618	1804.688	1687.500	1851.562	164.062			1
1389	Spectrogram 1	1	12623.077900000	12623.291470000	1641.625	1940.102	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	23.0779	1804.688	1710.938	1921.875	210.938			1
1390	Spectrogram 1	1	12620.603000000	12620.791440000	1620.305	1940.102	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	20.6030	1804.688	1664.062	1921.875	257.812			1
1391	Spectrogram 1	1	12620.263800000	12620.439680000	1897.462	2259.899	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	20.2638	2015.625	1921.875	2226.562	304.688			1
1392	Spectrogram 1	1	12601.457300000	12601.733680000	1876.143	2217.259	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	1.4573	2015.625	1898.438	2156.250	257.812			1
1393	Spectrogram 1	1	12602.876900000	12603.128160000	1620.305	1940.102	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	2.8769	1804.688	1664.062	1921.875	257.812			1
1394	Spectrogram 1	1	12603.718600000	12603.944730000	1812.183	2195.940	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	3.7186	1992.188	1828.125	2132.812	304.688			1
1395	Spectrogram 1	1	12605.866800000	12606.067810000	1854.823	2174.620	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	5.8668	2015.625	1898.438	2109.375	210.938			1
1396	Spectrogram 1	1	12605.339200000	12605.527650000	1598.985	1897.462	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	5.3392	1781.250	1617.188	1851.562	234.375			1
1397	Spectrogram 1	1	12607.600500000	12607.889440000	1662.945	2174.620	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	7.6005	1898.438	1734.375	2109.375	375.000			1
1398	Spectrogram 1	1	12612.160800000	12612.424620000	1598.985	1982.742	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	12.1608	1804.688	1640.625	1968.750	328.125			1
1399	Spectrogram 1	1	12614.208500000	12614.497440000	1769.544	2110.660	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	14.2085	1921.875	1781.250	2085.938	304.688			1
1400	Spectrogram 1	1	12613.542700000	12613.680890000	1790.863	2195.940	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	13.5427	2015.625	1828.125	2156.250	328.125			1
1401	Spectrogram 1	1	12616.884400000	12617.085400000	1769.544	2089.341	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	16.8844	1945.312	1781.250	2062.500	281.250			1
1402	Spectrogram 1	1	12618.253800000	12618.530180000	1620.305	2025.381	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	18.2538	1828.125	1664.062	2015.625	351.562			1
1403	Spectrogram 1	1	12618.781400000	12618.982410000	1854.823	2323.858	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	18.7814	2015.625	1898.438	2273.438	375.000			1
1404	Spectrogram 1	1	12631.859300000	12632.047740000	1833.503	2217.259	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	31.8593	2015.625	1898.438	2156.250	257.812			1
1405	Spectrogram 1	1	12631.658300000	12631.809050000	1854.823	2174.620	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	31.6583	2015.625	1898.438	2109.375	210.938			1
1406	Spectrogram 1	1	12630.489900000	12630.665780000	1598.985	1918.782	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	30.4899	1804.688	1617.188	1898.438	281.250			1
1407	Spectrogram 1	1	12632.349200000	12632.512520000	1598.985	2046.701	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	32.3492	1921.875	1664.062	2039.062	375.000			1
1408	Spectrogram 1	1	12633.743700000	12634.007520000	1705.584	2174.620	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	33.7437	1921.875	1757.812	2109.375	351.562			1
1409	Spectrogram 1	1	12634.183400000	12634.560280000	1598.985	2217.259	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	34.1834	1921.875	1640.625	2156.250	515.625			1
1410	Spectrogram 1	1	12636.495000000	12636.733700000	1598.985	2004.061	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	36.4950	1804.688	1640.625	1992.188	351.562			1
1411	Spectrogram 1	1	12637.085400000	12637.286410000	1620.305	2068.021	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	37.0854	1921.875	1710.938	2062.500	351.562			1
1412	Spectrogram 1	1	12638.391900000	12638.580340000	1662.945	2004.061	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	38.3919	1828.125	1710.938	1992.188	281.250			1
1413	Spectrogram 1	1	12639.648200000	12639.912020000	1641.625	2025.381	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	39.6482	1828.125	1710.938	2015.625	304.688			1
1414	Spectrogram 1	1	12642.989900000	12643.190910000	1705.584	2025.381	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	42.9899	1898.438	1757.812	2015.625	257.812			1
1415	Spectrogram 1	1	12643.316600000	12643.492480000	1812.183	2217.259	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	43.3166	1992.188	1828.125	2156.250	328.125			1
1416	Spectrogram 1	1	12643.505000000	12643.706000000	1641.625	1982.742	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	43.5050	1804.688	1710.938	1968.750	257.812			1
1417	Spectrogram 1	1	12645.502500000	12645.728630000	1620.305	2068.021	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	45.5025	1851.562	1710.938	2062.500	351.562			1
1418	Spectrogram 1	1	12647.701000000	12647.902000000	1620.305	2046.701	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	47.7010	1828.125	1710.938	2039.062	328.125			1
1419	Spectrogram 1	1	12648.190900000	12648.404470000	1556.346	1982.742	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	48.1909	1804.688	1593.750	1968.750	375.000			1
1420	Spectrogram 1	1	12649.547700000	12649.798960000	1620.305	2068.021	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	49.5477	1828.125	1687.500	2062.500	375.000			1
1421	Spectrogram 1	1	12650.301500000	12650.577880000	1513.706	2004.061	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	50.3015	1804.688	1546.875	1992.188	445.312			1
1422	Spectrogram 1	1	12650.665800000	12650.929620000	1790.863	2259.899	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	50.6658	1968.750	1804.688	2203.125	398.438			1
1423	Spectrogram 1	1	12651.570300000	12651.859250000	1705.584	2068.021	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	51.5703	1898.438	1757.812	2062.500	304.688			1
1424	Spectrogram 1	1	12654.610500000	12654.899450000	1790.863	2131.980	S1130_048K_LVR_10458035_20250527_013000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_013000.flac	54.6105	1945.312	1804.688	2085.938	281.250			1
1425	Spectrogram 1	1	13200.904500000	13200.904500000	1769.544	1769.544	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	0.9045	1781.250	1781.250	1781.250	0.000			
1426	Spectrogram 1	1	13200.791500000	13201.105570000	149.239	1684.264	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	0.7915	562.500	187.500	1523.438	1335.938			2
1427	Spectrogram 1	1	13207.261300000	13207.587940000	106.599	1449.747	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	7.2613	421.875	117.188	1289.062	1171.875			2
1428	Spectrogram 1	1	13200.565300000	13200.917060000	3325.889	3709.646	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	0.5653	3492.188	3328.125	3679.688	351.562			1
1429	Spectrogram 1	1	13200.841700000	13201.243710000	3261.930	3645.686	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	0.8417	3421.875	3304.688	3632.812	328.125			1
1430	Spectrogram 1	1	13200.175900000	13200.603030000	3006.092	3475.128	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	0.1759	3328.125	3046.875	3445.312	398.438			1
1431	Spectrogram 1	1	13201.721100000	13202.047740000	3517.767	3858.884	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	1.7211	3632.812	3562.500	3820.312	257.812			1
1432	Spectrogram 1	1	13202.060300000	13202.412060000	3432.488	3794.925	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	2.0603	3609.375	3468.750	3750.000	281.250			1
1433	Spectrogram 1	1	13202.160800000	13202.512560000	3197.970	3496.448	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	2.1608	3351.562	3234.375	3468.750	234.375			1
1434	Spectrogram 1	1	13202.500000000	13202.914570000	3325.889	3688.326	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	2.5000	3468.750	3328.125	3656.250	328.125			1
1435	Spectrogram 1	1	13202.500000000	13202.977390000	2835.534	3219.290	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	2.5000	2929.688	2835.938	3187.500	351.562			1
1436	Spectrogram 1	1	13203.869400000	13204.183470000	3453.808	3837.564	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	3.8694	3609.375	3468.750	3796.875	328.125			1
1437	Spectrogram 1	1	13204.133200000	13204.484960000	3475.128	3922.844	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	4.1332	3632.812	3515.625	3867.188	351.562			1
1438	Spectrogram 1	1	13203.429600000	13203.856730000	3219.290	3581.727	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	3.4296	3351.562	3257.812	3562.500	304.688			1
1439	Spectrogram 1	1	13204.371900000	13204.786470000	3411.168	3688.326	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	4.3719	3585.938	3445.312	3679.688	234.375			1
1440	Spectrogram 1	1	13204.384400000	13204.786410000	3176.651	3475.128	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	4.3844	3351.562	3210.938	3468.750	257.812			1
1441	Spectrogram 1	1	13204.685900000	13205.113030000	2878.173	3219.290	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	4.6859	3093.750	2882.812	3187.500	304.688			1
1442	Spectrogram 1	1	13205.967300000	13206.306500000	3261.930	3581.727	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	5.9673	3351.562	3304.688	3562.500	257.812			1
1443	Spectrogram 1	1	13206.306500000	13206.670820000	3411.168	3688.326	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	6.3065	3585.938	3421.875	3679.688	257.812			1
1444	Spectrogram 1	1	13206.482400000	13206.871850000	3176.651	3496.448	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	6.4824	3351.562	3210.938	3468.750	257.812			1
1445	Spectrogram 1	1	13206.796500000	13207.148260000	3411.168	3752.285	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	6.7965	3585.938	3445.312	3726.562	281.250			1
1446	Spectrogram 1	1	13207.864300000	13208.278870000	3283.250	3560.407	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	7.8643	3351.562	3304.688	3539.062	234.375			1
1447	Spectrogram 1	1	13208.165800000	13208.504990000	3112.691	3411.168	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	8.1658	3328.125	3140.625	3398.438	257.812			1
1448	Spectrogram 1	1	13207.788900000	13208.291410000	3496.448	3816.245	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	7.7889	3632.812	3515.625	3773.438	257.812			1
1449	Spectrogram 1	1	13208.228600000	13208.592920000	3304.569	3730.965	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	8.2286	3468.750	3304.688	3703.125	398.438			1
1450	Spectrogram 1	1	13209.598000000	13209.937190000	3261.930	3624.366	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	9.5980	3398.438	3304.688	3609.375	304.688			1
1451	Spectrogram 1	1	13209.572900000	13210.050290000	2920.813	3240.610	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	9.5729	3117.188	2953.125	3210.938	257.812			1
1452	Spectrogram 1	1	13210.113100000	13210.389480000	3325.889	3603.047	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	10.1131	3421.875	3328.125	3585.938	257.812			1
1453	Spectrogram 1	1	13209.874400000	13210.238720000	3475.128	3752.285	S1130_048K_LVR_10458035_20250527_020000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250527_020000.flac	9.8744	3609.375	3492.188	3726.562	234.375			1
