Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Sample date,9  Be  [ He ] ,23  Na  [ He ] ,24  Mg  [ He ] ,27  Al  [ He ] ,39  K  [ He ] ,44  Ca  [ He ] ,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,75  As  [ He ] ,78  Se  [ He ] ,95  Mo  [ He ] ,107  Ag  [ He ] ,111  Cd  [ He ] ,123  Sb  [ He ] ,135  Ba  [ He ] ,205  Tl  [ He ] ,208  Pb  [ He ] ,232  Th  [ He ] ,238  U  [ He ] ,45  Sc ( ISTD )  [ He ] ,74  Ge ( ISTD )  [ He ] ,89  Y ( ISTD )  [ He ] ,115  In ( ISTD )  [ He ] ,159  Tb ( ISTD )  [ He ] ,209  Bi ( ISTD )  [ He ] 
FALSE,030SMPL.d,21/04/2026 14:13,Sample,,SYM 6.17,17/06/2025,N/A,1.030379971,3.186337592,17.58800037,4.649146977,3.431652626,5.982100486,7.606551804,4.31777442,3.876876111,3.900312121,4.339820618,2.644939835,5.082677706,1.904080768,118.0740939,2.910132837,14.72646716,38.00202153,8.810455716,3.000211025,79.98786633,8.778166724,21.69757001,4.371151586,,,,,,
FALSE,031SMPL.d,21/04/2026 14:17,Sample,,COI 6.07,07/06/2025,N/A,0.439251705,7.889847131,26.78937867,7.909748321,9.741643758,7.376347842,1.631016222,7.383735881,10.02048369,10.05619496,27.70157343,14.22723882,23.9064381,3.270138174,62.61051629,10.64504632,55.32487787,35.88771973,20.53710923,14.05689918,49.03852239,13.69941625,10.80202613,7.361174628,,,,,,
FALSE,032_QC1.d,21/04/2026 14:20,QC1,,std4,,1.747589134,26.01012429,9.959003646,3.906624932,5.033582078,6.453243936,4.552057323,3.461769863,5.111029384,4.689922628,3.790887048,3.730655595,3.257744886,4.821601979,5.752438247,7.609675846,6.070691698,4.535703248,4.409580009,5.287179261,6.928339332,5.626477216,6.393028275,4.662811664,6.265305456,,,,,,
FALSE,033BLKV.d,21/04/2026 14:24,BlkVrfy,,std1,,N/A,6.739753653,2.010722277,50.322378,15.4263367,4.827780218,43.09813016,30.90470641,19.33762846,5.69793565,2.556965796,11.14005221,2.55284024,8.705966569,33.37712129,73.70144761,25.32302325,18.74745603,34.96230204,6.701423407,56.85363896,14.44721531,9.012352675,1.570251431,41.39011078,,,,,,
FALSE,034SMPL.d,21/04/2026 14:28,Sample,,BHB 6.06,06/06/2025,N/A,1.299167966,9.839889144,25.71574723,9.447890425,9.660543995,7.667061849,23.14509224,15.85776853,9.763726423,19.02614274,6.14088404,7.205835372,10.93313197,6.667220479,122.6650277,16.88176682,24.8442883,4.860600953,26.62150926,14.96250812,23.76100971,8.401241708,16.26971717,12.95459688,,,,,,
FALSE,035SMPL.d,21/04/2026 14:31,Sample,,BHB 6.18,18/06/2025,N/A,1.357443981,1.441204881,40.58775768,1.422731259,2.058366226,5.091254724,3.287611398,5.480336387,2.854298237,13.98249571,12.18167834,4.255045749,2.843474221,4.268209061,46.2813241,3.694961885,45.02168329,5.918259866,21.11884831,4.458346815,19.80515474,2.62279538,14.39572143,1.120045879,,,,,,
FALSE,036SMPL.d,21/04/2026 14:35,Sample,,LBW 6.09,09/06/2025,N/A,0.716090331,3.521079098,N/A,2.579987412,1.815399443,8.916236751,26.49983606,12.75478169,23.98924886,17.36911597,10.93758724,17.33356028,7.848396036,5.745998392,93.37456429,6.301102284,18.14375307,1.325452698,9.720015965,1.930910331,187.2988801,12.40032648,9.110445393,3.192431372,,,,,,
FALSE,037SMPL.d,21/04/2026 14:39,Sample,,LBW 6.16,16/06/2025,0,1.322785705,10.83839723,72.36472997,11.5768112,11.42765609,18.02758,28.32005875,12.34469142,11.18901168,15.86084062,12.05787492,15.13258788,11.90832537,10.06087599,98.04178317,15.92221482,21.82324113,74.55740404,13.83294815,15.44232381,128.2332521,21.06257535,14.19682454,17.2961558,,,,,,
FALSE,038SMPL.d,21/04/2026 14:42,Sample,,LVR 6.07,07/06/2025,0,0.58341799,4.382600855,11.12909937,4.153474687,4.450816414,6.559719922,6.112668529,3.130754677,5.616769622,21.13315009,25.79823186,4.450872211,3.859993917,3.312719059,111.4131614,8.731304792,53.86322762,35.98058448,15.20226219,5.968530003,22.58875404,6.392162063,20.7514062,3.455926632,,,,,,
FALSE,039SMPL.d,21/04/2026 14:46,Sample,,LVR 6.16,16/06/2025,0,2.495365929,7.720244173,7.164895742,7.410423265,7.539005758,10.09627503,1.982465447,10.64591482,8.870693246,56.56151071,15.28208041,8.269035496,5.267802621,3.178145842,50.82551327,9.336876808,38.81614807,45.26845354,16.16470719,11.59406177,19.29318184,12.26321851,16.21443973,12.41966238,,,,,,
FALSE,040SMPL.d,21/04/2026 14:50,Sample,,WWK 6.07,07/06/2025,N/A,0.739251806,3.483020756,16.49554555,2.736608545,2.999533591,2.289590121,6.126654968,5.027675252,5.933510933,4.190942451,3.490131932,1.923229903,3.591484264,4.029503543,38.08116471,4.364291943,22.54953368,16.48613987,4.454144202,3.103067002,18.71363265,4.734159919,14.79227272,3.357469694,,,,,,
FALSE,041SMPL.d,21/04/2026 14:53,Sample,,WWK 6.12,12/06/2025,0,1.137749469,9.023623935,23.23636314,8.106779042,9.157377278,7.470910196,7.856441632,11.64686253,12.69781852,16.79783425,20.90411301,10.06231805,8.851659984,10.16510992,78.43536879,11.05324736,14.86514082,62.45505836,3.658113269,10.89534289,80.34810503,11.05966309,19.42603495,10.56142967,,,,,,
FALSE,042SMPL.d,21/04/2026 14:57,Sample,,TRT 6.06,06/06/2025,N/A,1.270136475,6.832560078,39.69134674,6.736155606,7.289670374,9.266330356,9.179736225,5.667656559,7.682811494,13.02521619,11.60646874,9.560191873,7.54731133,10.752605,146.234124,10.40993524,53.79565001,99.50427037,22.54778081,6.287332607,10.75932797,5.740065475,18.11758414,5.782042315,,,,,,
FALSE,043SMPL.d,21/04/2026 15:01,Sample,,TRT 06.15,15/06/2025,N/A,1.12490251,4.708562336,29.34979239,4.787841876,5.016059916,4.565312995,0.599803534,4.262538378,7.080934973,20.31635447,0.521671827,5.800226828,4.972086307,5.035389123,117.0761135,10.58730231,37.98139815,67.10335016,18.56342964,8.37375931,36.26278065,6.755669453,21.95579272,5.160177184,,,,,,
FALSE,044_QC1.d,21/04/2026 15:04,QC1,,,,1.107990706,3.941843212,10.08315343,11.53516154,10.48560219,8.162536099,9.386814809,8.580424526,8.803172087,9.651865706,9.426159823,8.93010798,7.896900225,9.170072463,9.744589089,12.63587981,14.47181508,14.10382412,14.9424875,13.93541601,12.9042641,11.4216124,12.62752847,21.64670164,11.89270583,,,,,,
FALSE,045BLKV.d,21/04/2026 15:08,BlkVrfy,,,,N/A,3.456940022,4.889595527,711.2185663,15.01233786,12.60196917,46.13602953,24.81904408,9.904426234,2.680240133,9.060211026,11.10021315,5.847740572,30.31982441,51.5737605,159.1419042,30.02957921,23.38621052,52.68582781,6.221961078,62.82588332,8.860103202,4.667557306,5.16488417,28.6488234,,,,,,
