Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,9  Be  [ He ] ,23  Na  [ He ] ,24  Mg  [ He ] ,27  Al  [ He ] ,39  K  [ He ] ,44  Ca  [ He ] ,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,75  As  [ He ] ,78  Se  [ He ] ,95  Mo  [ He ] ,107  Ag  [ He ] ,111  Cd  [ He ] ,123  Sb  [ He ] ,135  Ba  [ He ] ,205  Tl  [ He ] ,208  Pb  [ He ] ,232  Th  [ He ] ,238  U  [ He ] ,45  Sc ( ISTD )  [ He ] ,74  Ge ( ISTD )  [ He ] ,89  Y ( ISTD )  [ He ] ,115  In ( ISTD )  [ He ] ,159  Tb ( ISTD )  [ He ] ,209  Bi ( ISTD )  [ He ] 
FALSE,018SMPL.d,4/23/2026 13:30,Sample,,MGV 6.15,N/A,0.101901089,2.259579299,151.6908184,1.766804927,2.121070804,25.98721691,10.42471833,4.128455487,16.79345022,N/A,N/A,9.299197461,83.94182275,6.150306096,N/A,18.22533056,47.40343285,457.264674,5.769667679,15.76837369,N/A,N/A,34.29351176,4.013968581,,,,,,
FALSE,019SMPL.d,4/23/2026 13:33,Sample,,SYM 6.9,N/A,0.460706908,1.249746708,123.195054,2.285276485,2.096709291,23.19516925,63.77058119,43.19437401,11.76891693,N/A,N/A,18.79588961,N/A,26.13844972,N/A,36.24317612,220.8822121,68.94615823,39.22047692,7.641911529,80.11757581,N/A,43.56527634,17.76868064,,,,,,
FALSE,020SMPL.d,4/23/2026 13:37,Sample,,SYM 6.17,N/A,0.268889367,1.121636791,38.99419039,0.84306162,0.707464153,33.71575197,24.62487849,11.88058472,5.691869422,N/A,N/A,26.35736138,N/A,9.596742719,N/A,24.4400369,236.9234927,N/A,5.609680013,10.56223446,7.729672332,77.37087548,44.28989208,17.29735762,,,,,,
FALSE,021_QC1.d,4/23/2026 13:40,QC1,,std4,2.543795848,0.375905977,1.607373608,4.097238469,1.400277862,2.30548881,2.336573617,1.593572289,0.958642376,1.584687117,1.360049334,2.379292988,1.604648314,1.617596979,1.842598662,5.028570242,2.041781406,0.45851434,0.880700458,2.794398655,1.834860665,1.430159653,0.739075938,3.961901283,1.098874857,,,,,,
FALSE,022BLKV.d,4/23/2026 13:44,BlkVrfy,,std1,N/A,6.30838888,173.7204923,84.16748901,32.34418588,21.78818826,N/A,19.11553727,162.6191164,7.579495977,N/A,12.15926899,20.87501802,N/A,59.73446882,N/A,18.61402129,91.61541801,91.53299638,7.044894348,358.1948173,11.67099747,92.11643238,4.574239511,145.5911566,,,,,,
FALSE,023SMPL.d,4/23/2026 13:48,Sample,,COI 6.7,N/A,0.420148627,0.59106174,30.88941043,1.078722689,1.217304148,8.950113882,9.418270913,9.184603904,5.626647801,N/A,N/A,29.7420607,N/A,10.41425533,N/A,20.07355788,32.47237162,N/A,15.06100216,10.5779471,44.1468618,N/A,12.73994268,2.866258607,,,,,,
FALSE,024SMPL.d,4/23/2026 13:51,Sample,,COI 6.16,N/A,0.731886433,1.925678161,51.11765593,2.774707345,2.764229288,28.93272024,39.12898731,1.057417341,19.44757139,N/A,N/A,19.15761507,N/A,22.29256796,N/A,17.64168424,5.089529117,N/A,13.54607365,8.25632107,25.96868099,N/A,6.27611518,3.784855465,,,,,,
FALSE,025SMPL.d,4/23/2026 13:55,Sample,,BTM 6.7,N/A,0.24070965,1.278198137,39.33482109,1.409707622,1.381035101,27.82266706,23.13774577,19.83314802,19.05168993,N/A,187.7466438,1.940628045,9.475198456,20.76139878,855.7112582,9.389385007,15.74303335,746.5659099,35.79391774,10.36444213,85.72098455,N/A,16.00499511,3.097406171,,,,,,
FALSE,026SMPL.d,4/23/2026 13:59,Sample,,BTM 6.16,N/A,0.507989775,0.098293684,195.8006613,0.599608438,0.662023035,19.10765002,16.8377255,3.7239027,10.04445244,N/A,N/A,3.654455301,24.20935223,44.7940387,369.5994891,8.609292049,68.52971645,328.5495922,59.23251335,18.27533915,333.2120242,N/A,39.12629919,3.567274959,,,,,,
FALSE,027SMPL.d,4/23/2026 14:02,Sample,,WWK 6.9,N/A,0.426617329,2.553875038,94.13908412,1.615710893,2.297423177,42.85325519,19.60698553,38.53863134,23.98503846,N/A,N/A,5.633122546,N/A,85.85578334,N/A,52.43394413,N/A,N/A,35.63980018,12.34871768,117.7048987,N/A,25.32294888,29.84488341,,,,,,
FALSE,028SMPL.d,4/23/2026 14:06,Sample,,WWK 6.17,N/A,0.153299267,2.301103187,198.6189048,2.262658067,1.569020438,9.019394442,28.66869444,7.948278386,23.69876025,N/A,20.0353808,67.78864747,N/A,48.26880775,535.6781547,28.83095863,N/A,N/A,28.08462137,22.61132887,123.908705,981.5656404,17.11314244,7.137210576,,,,,,
FALSE,029SMPL.d,4/23/2026 14:10,Sample,,LVR 7/7,N/A,0.594813737,1.929069609,31.20041265,1.22746433,1.304108483,17.6084357,16.83251459,31.57541078,12.3719872,N/A,N/A,8.26852043,N/A,31.25794401,N/A,12.51687154,37.0276761,N/A,62.99310603,31.32370784,149.565862,N/A,36.17072092,2.955903363,,,,,,
FALSE,030SMPL.d,4/23/2026 14:13,Sample,,LVR 6.16,N/A,0.362466226,1.944588771,8.349077763,2.249808967,2.472537227,6.389899999,16.65164594,31.85115927,12.89346513,N/A,N/A,20.83104924,N/A,20.06439362,N/A,3.211610817,32.48179791,367.2481755,52.51685328,5.332938127,834.9069895,N/A,4.770639469,6.065776582,,,,,,
FALSE,031_QC1.d,4/23/2026 14:17,QC1,,std4,1.188568697,0.718301022,1.404771096,3.335146733,1.373894672,0.730006037,1.240615651,1.405883154,1.534114103,0.828744604,1.841403724,1.742210196,1.068898656,0.903228352,0.04758411,1.289619646,1.098167814,0.763531104,0.712408065,1.788621881,0.476595796,1.30906991,0.868237489,5.188819946,1.171087101,,,,,,
FALSE,032BLKV.d,4/23/2026 14:21,BlkVrfy,,std1,229.1287847,2.342721801,13.90981143,173.3851175,43.33705406,72.32568802,N/A,9.399493092,N/A,2.032574099,N/A,14.10430756,45.72366847,N/A,805.591688,130.2301764,11.09045872,111.453533,250.9958546,4.460822532,60.60436615,14.70243702,66.2574368,0.934780039,45.87991472,,,,,,
