Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	BW 50% (Hz)	BW 90% (Hz)	Center Time Rel.	Time 5% Rel.	Time 25% Rel.	Time 75% Rel.	Time 95% Rel.	Dur 50% (s)	Dur 90% (s)	colour	source	type	site	pulse count
145	Spectrogram 1	1	647.553800000	648.046631370	14.700	1098.900	S1130_048K_MGV_10457639_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_151500.flac	47.5538	140.625	23.438	70.312	421.875	843.750	351.562	820.312	0.4091	0.0000	0.1364	0.7727	0.9545	0.2987	0.4480	green	aquatic	chain	MGV	3
161	Spectrogram 1	1	1205.466000000	1205.806501674	0.000	410.300	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	5.4660	93.750	23.438	70.312	187.500	328.125	117.188	304.688	0.5333	0.0667	0.2000	0.8667	1.0000	0.2133	0.2987	green	aquatic	chain	MGV	2
175	Spectrogram 1	1	1211.998200000	1212.419346807	0.000	1054.900	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	11.9982	117.188	23.438	70.312	257.812	585.938	187.500	562.500	0.6316	0.0526	0.2105	0.8421	1.0000	0.2560	0.3840	green	aquatic	pulse	MGV	
179	Spectrogram 1	1	1220.537600000	1220.734732548	0.000	439.600	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	20.5376	93.750	0.000	70.312	210.938	351.562	140.625	351.562	0.3750	0.0000	0.2500	0.6250	1.0000	0.0640	0.1707	green	aquatic	chain	MGV	2
181	Spectrogram 1	1	1221.917600000	1222.222259392	0.000	468.900	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	21.9176	117.188	0.000	70.312	234.375	398.438	164.062	398.438	0.3846	0.0769	0.2308	0.7692	1.0000	0.1493	0.2560	green	aquatic	chain	MGV	2
186	Spectrogram 1	1	1224.847700000	1225.179241104	0.000	1098.900	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	24.8477	117.188	23.438	70.312	281.250	585.938	210.938	562.500	0.5333	0.0667	0.2000	0.8667	1.0000	0.2133	0.2987	green	aquatic	chain	MGV	3
209	Spectrogram 1	1	1244.310000000	1244.525053689	0.000	1186.800	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	44.3100	140.625	0.000	70.312	304.688	703.125	234.375	703.125	0.4444	0.0000	0.2222	0.7778	1.0000	0.1067	0.1920	green	aquatic	chain	MGV	3
214	Spectrogram 1	1	1249.408600000	1249.775983385	0.000	527.500	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	49.4086	93.750	23.438	70.312	234.375	445.312	164.062	421.875	0.5000	0.0625	0.1875	0.8125	0.9375	0.2133	0.2987	green	aquatic	chain	MGV	2
230	Spectrogram 1	1	1258.019700000	1259.632602666	0.000	908.400	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	58.0197	140.625	23.438	70.312	257.812	562.500	187.500	539.062	0.5067	0.0400	0.2400	0.7467	0.8667	0.8107	1.3227	green	aquatic	harmonic	MGV	
267	Spectrogram 1	1	1824.328500000	1824.534593119	0.000	1172.200	S1130_048K_MGV_10457639_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_154500.flac	24.3285	164.062	23.438	93.750	375.000	750.000	281.250	726.562	0.4444	0.0000	0.2222	0.7778	1.0000	0.1067	0.1920	green	aquatic	chain	MGV	2
269	Spectrogram 1	1	1828.620100000	1829.050207378	0.000	1025.600	S1130_048K_MGV_10457639_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_154500.flac	28.6201	164.062	23.438	93.750	375.000	726.562	281.250	703.125	0.3684	0.0526	0.1579	0.6316	0.8947	0.1920	0.3413	green	aquatic	harmonic	MGV	
273	Spectrogram 1	1	1830.250900000	1830.654125667	0.000	923.100	S1130_048K_MGV_10457639_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_154500.flac	30.2509	164.062	23.438	93.750	351.562	703.125	257.812	679.688	0.3529	0.0588	0.1765	0.6471	0.8824	0.1707	0.2987	green	aquatic	harmonic	MGV	
282	Spectrogram 1	1	1836.836900000	1837.275967948	0.000	835.200	S1130_048K_MGV_10457639_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_154500.flac	36.8369	164.062	23.438	93.750	328.125	679.688	234.375	656.250	0.3500	0.0500	0.1500	0.6000	0.8500	0.1920	0.3413	green	aquatic	harmonic	MGV	
285	Spectrogram 1	1	1837.643400000	1837.903256541	0.000	1260.100	S1130_048K_MGV_10457639_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_154500.flac	37.6434	164.062	23.438	93.750	375.000	750.000	281.250	726.562	0.4545	0.0909	0.2727	0.7273	1.0000	0.1067	0.2133	green	aquatic	chain	MGV	2
286	Spectrogram 1	1	1838.306400000	1838.593138252	0.000	1025.600	S1130_048K_MGV_10457639_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_154500.flac	38.3064	164.062	23.438	93.750	375.000	726.562	281.250	703.125	0.4615	0.0769	0.2308	0.6923	1.0000	0.1280	0.2560	green	aquatic	chain	MGV	2
290	Spectrogram 1	1	1845.519700000	1845.905004526	0.000	395.600	S1130_048K_MGV_10457639_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_154500.flac	45.5197	117.188	23.438	70.312	187.500	281.250	117.188	257.812	0.4118	0.0588	0.1765	0.6471	0.9412	0.1707	0.3200	green	aquatic	harmonic	MGV	
299	Spectrogram 1	1	1850.313600000	1851.164854184	0.000	688.600	S1130_048K_MGV_10457639_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_154500.flac	50.3136	117.188	23.438	70.312	234.375	562.500	164.062	539.062	0.3077	0.0513	0.1282	0.6923	0.9231	0.4693	0.7253	green	aquatic	harmonic	MGV	
300	Spectrogram 1	1	1851.487400000	1851.935428518	0.000	732.600	S1130_048K_MGV_10457639_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_154500.flac	51.4874	164.062	23.438	93.750	281.250	609.375	187.500	585.938	0.3500	0.0500	0.1500	0.6000	0.8500	0.1920	0.3413	green	aquatic	harmonic	MGV	
304	Spectrogram 1	1	1856.460539924	1856.836883880	0.000	1333.300	S1130_048K_MGV_10457639_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_154500.flac	56.4605	164.062	23.438	93.750	398.438	750.000	304.688	726.562	0.3529	0.0588	0.1765	0.6471	0.8824	0.1707	0.2987	green	aquatic	chain	MGV	5
314	Spectrogram 1	1	1858.826100000	1859.345813081	0.000	527.500	S1130_048K_MGV_10457639_20250519_154500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_154500.flac	58.8261	140.625	23.438	70.312	210.938	445.312	140.625	421.875	0.3043	0.0435	0.1304	0.5217	0.8261	0.1920	0.3840	green	aquatic	harmonic	MGV	
325	Spectrogram 1	1	2415.224000000	2415.645146807	0.000	849.800	S1130_048K_MGV_10457639_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_160000.flac	15.2240	140.625	23.438	70.312	257.812	562.500	187.500	539.062	0.4211	0.1053	0.2632	0.7368	0.8947	0.1920	0.3200	green	aquatic	chain	MGV	2
326	Spectrogram 1	1	2425.313600000	2425.707865096	0.000	820.500	S1130_048K_MGV_10457639_20250519_160000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_160000.flac	25.3136	140.625	23.438	70.312	257.812	562.500	187.500	539.062	0.4444	0.1111	0.2778	0.7778	0.9444	0.1920	0.3200	green	aquatic	harmonic	MGV	
