Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	BW 50% (Hz)	BW 90% (Hz)	Center Time Rel.	Time 5% Rel.	Time 25% Rel.	Time 75% Rel.	Time 95% Rel.	Dur 50% (s)	Dur 90% (s)	colour	source	type	site
22	Spectrogram 1	1	1039.256267082	1039.407020798	106.6	3986.8	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	41.2563	867.188	140.625	234.375	2273.438	3609.375	2039.062	3468.75	0.5	0	0.1667	0.8333	1	0.0853	0.128	green	NA	NA	LVR
23	Spectrogram 1	1	1039.469834847	1039.582900134	170.6	3411.2	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	41.4698	960.938	187.5	328.125	2132.812	3070.312	1804.688	2882.812	0.5	0	0.25	0.75	1	0.0427	0.0853	green	NA	NA	LVR
24	Spectrogram 1	1	1035.160791117	1035.788931602	149.2	2920.8	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	37.1608	1312.5	210.938	656.25	2625	2789.062	1968.75	2578.125	0.5714	0.0714	0.4643	0.7857	0.8929	0.192	0.4907	green	NA	NA	LVR
25	Spectrogram 1	1	1039.005010888	1039.118076175	234.5	2728.9	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	41.005	1054.688	281.25	492.188	1875	2601.562	1382.812	2320.312	0.5	0	0	0.75	1	0.064	0.0853	green	NA	NA	LVR
27	Spectrogram 1	1	1038.866819981	1038.992448078	170.6	2366.5	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	40.8668	609.375	187.5	281.25	1359.375	2203.125	1078.125	2015.625	0.4	0	0.2	0.8	1	0.064	0.1067	green	NA	NA	LVR
28	Spectrogram 1	1	1038.640689406	1040.060286903	127.9	3944.2	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	40.6407	820.312	164.062	468.75	1828.125	3351.562	1359.375	3187.5	0.6308	0.0923	0.3231	0.8923	0.9385	0.7893	1.1733	green	NA	NA	LVR
31	Spectrogram 1	1	1048.40199255	1048.515057837	21.3	1087.3	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	50.402	140.625	23.438	70.312	281.25	867.188	210.938	843.75	0.6	0	0.2	0.8	1	0.064	0.1067	green	NA	NA	LVR
32	Spectrogram 1	1	1048.502495027	1048.653248744	21.3	874.1	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	50.5025	117.188	23.438	46.875	257.812	656.25	210.938	632.812	0.5	0	0.1667	0.6667	1	0.064	0.128	green	NA	NA	LVR
33	Spectrogram 1	1	1048.37686693	1048.678374363	21.3	1108.6	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	50.3769	164.062	23.438	70.312	375	937.5	304.688	914.062	0.3846	0	0.2308	0.6923	1	0.128	0.2773	green	NA	NA	LVR
34	Spectrogram 1	1	1050.726112346	1050.826614823	21.3	597	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	52.7261	93.75	23.438	46.875	210.938	468.75	164.062	445.312	0.5	0	0.25	1	1	0.064	0.0853	green	NA	NA	LVR
35	Spectrogram 1	1	1628.56531602	1628.703506927	42.6	2430.5	S1130_048K_LVR_10458035_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_151500.flac	30.5653	210.938	46.875	93.75	960.938	2132.812	867.188	2085.938	0.5	0	0.1667	0.8333	1	0.0853	0.128	green	NA	NA	LVR
36	Spectrogram 1	1	1655.27384946	1655.499980035	42.6	1982.7	S1130_048K_LVR_10458035_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_151500.flac	57.2739	234.375	46.875	93.75	820.312	1734.375	726.562	1687.5	0.4	0	0.1	0.7	1	0.128	0.2133	green	NA	NA	LVR
37	Spectrogram 1	1	1637.309031577	1637.497473723	64	2046.7	S1130_048K_LVR_10458035_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_151500.flac	39.309	257.812	70.312	117.188	890.625	1804.688	773.438	1734.375	0.375	0	0.125	0.625	1	0.0853	0.1707	green	NA	NA	LVR
41	Spectrogram 1	1	1647.09546034	1647.246214056	21.3	2558.4	S1130_048K_LVR_10458035_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_151500.flac	49.0955	210.938	23.438	70.312	960.938	2250	890.625	2226.562	0.5	0	0.1667	0.6667	1	0.064	0.128	green	NA	NA	LVR
