Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)
17	Spectrogram 1	1	662604.852919311	662604.987327867	0.000	791.200	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	13.0287
18	Spectrogram 1	1	662604.996288437	662605.300947829	0.000	381.000	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	13.1720
19	Spectrogram 1	1	662605.300947829	662605.578725511	0.000	717.900	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	13.4767
20	Spectrogram 1	1	662606.474782547	662606.770481369	0.000	498.200	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	14.6505
21	Spectrogram 1	1	662606.797363081	662607.155785895	0.000	659.300	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	14.9731
22	Spectrogram 1	1	662607.478366428	662607.836789243	0.000	659.300	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	15.6541
23	Spectrogram 1	1	662605.695212926	662606.447900836	0.000	556.800	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	13.8710
24	Spectrogram 1	1	662607.182667606	662607.487326999	0.000	571.400	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	15.3584
25	Spectrogram 1	1	662607.989118939	662608.410265746	0.000	527.500	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	16.1649
26	Spectrogram 1	1	662610.498078641	662610.713132330	0.000	717.900	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	18.6738
